year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2015,159,18.80,15.86,0.08,0.23,,,,,,,
2015,159,16.80,11.17,1.35,3.37,,,,,,,
2015,159,17.14,10.45,0.69,2.84,,,,,,,
2015,159,16.26,7.73,1.32,3.12,,,,,,,
2015,159,17.11,8.73,0.80,2.66,,,,,,,
2015,159,20.58,7.84,1.28,1.80,,,,,,,
2015,159,17.90,9.55,1.31,3.48,,,,,,,
2015,159,15.43,7.99,1.58,3.29,,,,,,,
2015,159,15.52,8.84,1.01,2.37,,,,,,,
2015,159,15.93,9.05,2.16,2.13,,,,,,,
2015,159,14.15,7.99,3.10,3.73,,,,,,,
2015,159,6.30,2.20,0.31,2.37,,,,,,,
2015,159,5.67,3.30,0.59,1.86,,,,,,,
2015,159,4.70,2.22,0.44,2.07,,,,,,,
2015,159,5.16,0.05,0.87,2.50,,,,,,,
2015,159,6.92,-1.15,0.62,1.44,,,,,,,
2015,159,7.00,3.36,0.84,2.47,,,,,,,
2015,159,6.65,3.01,0.40,1.55,,,,,,,
2015,159,6.03,4.52,0.26,0.98,,,,,,,
2015,159,5.83,2.71,0.28,1.58,,,,,,,
2015,159,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,159,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,159,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,159,5.92,3.71,0.18,1.83,,,,,,,
2015,160,6.18,5.95,0.07,0.35,,,,,,,
2015,160,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,160,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,160,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,160,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,160,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,160,9999.99,9999.99,9999.99,9999.99,,,,,,,
2015,160,5.69,4.78,0.00,0.00,,,,,,,
2015,160,6.46,4.91,0.68,1.04,,,,,,,
2015,160,6.69,5.12,0.24,0.76,,,,,,,
2015,160,6.08,3.44,0.19,1.64,,,,,,,
2015,160,6.23,3.11,0.50,0.76,,,,,,,
2015,160,5.31,3.60,0.58,1.24,,,,,,,
2015,160,4.86,2.37,0.40,1.18,,,,,,,
2015,160,4.69,1.74,0.27,1.37,,,,,,,
2015,160,4.37,3.26,0.30,0.95,,,,,,,
2015,160,4.87,-0.15,0.31,0.84,,,,,,,
2015,160,4.32,2.84,0.31,1.25,,,,,,,
2015,160,4.41,3.43,0.23,0.58,,,,,,,
2015,160,4.12,-0.12,0.19,1.78,,,,,,,
2015,160,4.38,1.13,0.24,2.41,,,,,,,
2015,160,4.77,2.81,0.16,0.73,,,,,,,
2015,160,4.90,2.93,0.14,1.35,,,,,,,
2015,160,4.72,2.38,0.34,0.82,,,,,,,
2015,161,4.82,1.78,0.35,1.06,,,,,,,
2015,161,4.78,1.91,0.33,1.28,,,,,,,
2015,161,4.69,2.32,0.29,1.45,,,,,,,
2015,161,5.01,2.86,0.39,1.87,,,,,,,
2015,161,4.56,1.04,0.33,1.89,,,,,,,
2015,161,4.34,2.33,0.37,1.69,,,,,,,
2015,161,3.80,2.76,0.27,1.16,,,,,,,
2015,161,3.69,2.10,0.41,1.49,,,,,,,
2015,161,4.24,2.83,0.15,1.69,,,,,,,
2015,161,4.00,3.03,0.19,0.95,,,,,,,
2015,161,4.18,3.65,0.20,0.61,,,,,,,
2015,161,4.34,3.79,0.20,0.66,,,,,,,
2015,161,4.37,3.65,0.41,1.04,,,,,,,
2015,161,4.28,3.14,0.37,0.74,,,,,,,
2015,161,4.06,1.65,0.43,1.77,,,,,,,
2015,161,4.38,1.39,0.20,1.29,,,,,,,
2015,161,4.24,-0.57,0.23,1.34,,,,,,,
2015,161,4.48,0.48,0.24,1.17,,,,,,,
2015,161,4.08,0.94,0.44,1.07,,,,,,,
2015,161,3.86,-0.56,0.72,1.24,,,,,,,
2015,161,3.62,2.15,0.60,1.37,,,,,,,
2015,161,4.14,3.35,0.25,0.80,,,,,,,
2015,161,3.95,1.92,0.11,1.58,,,,,,,
2015,161,3.87,1.74,0.20,1.63,,,,,,,
2015,162,3.88,2.85,0.12,0.55,,,,,,,
2015,162,4.16,2.34,0.21,1.47,,,,,,,
2015,162,4.31,-2.77,0.39,1.30,,,,,,,
2015,162,3.72,-0.35,0.36,0.92,,,,,,,
2015,162,4.01,1.54,0.31,1.63,,,,,,,
2015,162,3.60,1.50,0.38,1.15,,,,,,,
2015,162,3.49,1.77,0.35,1.10,,,,,,,
2015,162,3.57,1.72,0.24,1.45,,,,,,,
2015,162,3.58,1.42,0.16,0.73,,,,,,,
2015,162,3.28,1.63,0.26,0.82,,,,,,,
2015,162,2.73,1.82,0.42,0.65,,,,,,,
2015,162,3.69,2.97,0.40,0.61,,,,,,,
2015,162,3.75,3.20,0.16,0.45,,,,,,,
2015,162,3.49,0.84,0.21,1.49,,,,,,,
2015,162,3.54,1.42,0.25,0.87,,,,,,,
2015,162,3.13,0.89,0.21,0.70,,,,,,,
2015,162,3.12,1.57,0.18,0.93,,,,,,,
2015,162,3.14,2.30,0.16,0.37,,,,,,,
2015,162,3.02,2.24,0.10,0.29,,,,,,,
2015,162,2.91,2.07,0.19,0.29,,,,,,,
2015,162,2.86,1.67,0.15,0.51,,,,,,,
2015,162,2.90,0.03,0.18,1.45,,,,,,,
2015,162,2.75,0.93,0.18,0.62,,,,,,,
2015,162,3.05,1.23,0.12,0.54,,,,,,,
2015,163,3.13,-1.30,0.44,0.92,,,,,,,
2015,163,3.12,-2.45,0.15,0.36,,,,,,,
2015,163,3.47,-3.20,0.09,0.11,,,,,,,
2015,163,3.37,-2.89,0.11,0.32,,,,,,,
2015,163,3.37,-3.06,0.14,0.25,,,,,,,
2015,163,3.08,-2.55,0.15,0.29,,,,,,,
2015,163,3.46,-3.30,0.13,0.31,,,,,,,
2015,163,3.51,-3.44,0.05,0.10,,,,,,,
2015,163,3.40,-3.34,0.13,0.15,,,,,,,
2015,163,3.34,-3.26,0.11,0.11,,,,,,,
2015,163,3.45,-3.40,0.13,0.13,,,,,,,
2015,163,3.15,-3.13,0.12,0.11,,,,,,,
2015,163,3.20,-1.81,1.03,2.02,,,,,,,
2015,163,5.06,1.46,1.00,1.24,,,,,,,
2015,163,5.85,1.58,1.84,1.12,,,,,,,
2015,163,4.34,-0.84,1.18,2.83,,,,,,,
